,Response,Income,Recency,SpendingWine,SpendingGreens,SpendingMeat,SpendingFish,SpendingSweets,SpendingGold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,haveChildren,ID,AcceptedCmp1_0.0,AcceptedCmp1_1.0,AcceptedCmp2_0.0,AcceptedCmp2_1.0,AcceptedCmp3_0.0,AcceptedCmp3_1.0,AcceptedCmp4_0.0,AcceptedCmp4_1.0,AcceptedCmp5_0.0,AcceptedCmp5_1.0,AcceptedCampaigns_0.0,AcceptedCampaigns_1.0,AcceptedCampaigns_2.0,AcceptedCampaigns_3.0,AcceptedCampaigns_4.0,Education_0.0,Education_1.0,Marital_Status_0.0,Marital_Status_1.0
0,1.0,0.5555555555555556,0.6666666666666666,0.8888888888888888,1.0,1.0,1.0,0.875,0.8888888888888888,0.2,0.2962962962962963,0.3571428571428571,0.3076923076923077,0.35000000000000003,0.0,0.49361093736037887,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True
1,0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.125,0.0,0.125,0.125,0.2222222222222222,0.13333333333333333,0.037037037037037035,0.03571428571428571,0.15384615384615385,0.25,0.6666666666666666,0.19426324725225627,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True
2,0.0,0.7777777777777777,0.2222222222222222,0.7777777777777777,0.875,0.6666666666666666,0.875,0.625,0.6666666666666666,0.06666666666666667,0.2962962962962963,0.07142857142857142,0.7692307692307693,0.2,0.0,0.3700294879814136,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False
3,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.375,0.3333333333333333,0.375,0.25,0.1111111111111111,0.13333333333333333,0.07407407407407407,0.0,0.3076923076923077,0.30000000000000004,0.3333333333333333,0.5524081851487802,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False
4,0.0,0.6666666666666666,1.0,0.4444444444444444,0.75,0.6666666666666666,0.75,0.75,0.3333333333333333,0.3333333333333333,0.18518518518518517,0.10714285714285714,0.46153846153846156,0.25,0.3333333333333333,0.47573943347332676,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False
5,0.0,0.6666666666666666,0.1111111111111111,0.7777777777777777,0.75,0.5555555555555556,0.0,0.75,0.3333333333333333,0.13333333333333333,0.2222222222222222,0.14285714285714285,0.7692307692307693,0.30000000000000004,0.3333333333333333,0.6653560897149495,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False
6,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.875,0.6666666666666666,0.75,0.875,0.5555555555555556,0.26666666666666666,0.25925925925925924,0.10714285714285714,0.5384615384615385,0.30000000000000004,0.3333333333333333,0.08623000625502636,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True
7,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5,0.4444444444444444,0.25,0.125,0.4444444444444444,0.13333333333333333,0.14814814814814814,0.0,0.3076923076923077,0.4,0.3333333333333333,0.551961397551604,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False
8,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.25,0.25,0.0,0.06666666666666667,0.1111111111111111,0.0,0.15384615384615385,0.45,0.3333333333333333,0.4338307568581896,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False
9,0.0,0.0,0.7777777777777777,0.2222222222222222,0.0,0.0,0.0,0.125,0.3333333333333333,0.06666666666666667,0.037037037037037035,0.0,0.0,1.0,0.6666666666666666,0.5271200071486015,True,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False
